,k490_mean,k490_p90,chlorophyll_mean,chlorophyll_p90,Kd_PAR_approx
Banco Capiro (Tela),0.12233110964912282,0.1740286,1.3194447499561401,2.2144900599999997,0.14174833223684213
Cocalito (Tela W),0.13965863888888888,0.2236105,1.6398594546296295,3.0807449,0.15474397916666666
Utila (Bay Is.),0.048113725490196074,0.0646,0.2982613705882353,0.43716756,0.08608529411764707
Roatan (Bay Is.),0.039815625,0.04842000000000001,0.2249906223804348,0.2722576500000001,0.07986171875
Cayos Cochinos,0.05992255113636364,0.0909465,0.42522888634090916,0.7994041000000001,0.09494191335227273
Florida Keys,0.0862983289473684,0.1260172,0.8273350029649122,1.4274549000000003,0.1147237467105263
